number,value,datetime_start,datetime_complete,duration,params_batch_size,params_beta,params_latent_size,params_num_classes,state
0,0.07216678180403831,2025-09-14 12:48:47.286384,2025-09-14 13:22:21.181569,0 days 00:33:33.895185,12,1.0,28,12,COMPLETE
1,0.6029679201390911,2025-09-14 13:22:21.201496,2025-09-14 14:07:03.981972,0 days 00:44:42.780476,60,1.0,11,19,COMPLETE
2,0.7717421711278556,2025-09-14 14:07:03.985870,2025-09-14 14:41:49.701627,0 days 00:34:45.715757,33,0.000316,31,23,COMPLETE
3,0.2526319100389518,2025-09-14 14:41:49.705582,2025-09-14 15:16:58.825940,0 days 00:35:09.120358,36,0.316,22,31,COMPLETE
4,0.5917057477286937,2025-09-14 15:16:58.829687,2025-09-14 15:47:16.933221,0 days 00:30:18.103534,21,0.0001,7,32,COMPLETE
5,0.24148210957499205,2025-09-14 15:47:16.937500,2025-09-14 16:24:00.668432,0 days 00:36:43.730932,38,0.316,26,19,COMPLETE
6,0.6929744252793312,2025-09-14 16:24:00.672441,2025-09-14 16:53:35.589023,0 days 00:29:34.916582,19,0.000316,32,27,COMPLETE
7,0.18490820790508927,2025-09-14 16:53:35.593106,2025-09-14 17:17:58.983434,0 days 00:24:23.390328,8,0.0316,5,14,COMPLETE
8,0.65592738133066,2025-09-14 17:17:58.988874,2025-09-14 17:59:27.818912,0 days 00:41:28.830038,54,0.01,20,30,COMPLETE
9,0.8064172269740992,2025-09-14 17:59:27.824888,2025-09-14 18:32:28.057570,0 days 00:33:00.232682,31,0.0001,13,29,COMPLETE
10,0.23300916410088668,2025-09-14 18:32:28.063201,2025-09-14 19:10:19.029091,0 days 00:37:50.965890,47,0.0001,14,4,COMPLETE
11,0.6130063669371424,2025-09-14 19:10:19.034180,2025-09-14 19:41:27.417417,0 days 00:31:08.383237,26,0.000316,16,24,COMPLETE
12,0.8436278597986586,2025-09-14 19:41:27.422918,2025-09-14 20:14:03.370785,0 days 00:32:35.947867,31,0.001,10,24,COMPLETE
13,0.4366409039840135,2025-09-14 20:14:03.375639,2025-09-14 20:50:51.861674,0 days 00:36:48.486035,44,0.001,10,25,COMPLETE
14,0.7682322932999687,2025-09-14 20:50:51.866787,2025-09-14 21:22:05.826124,0 days 00:31:13.959337,26,0.001,12,28,COMPLETE
15,0.4192944889942057,2025-09-14 21:22:05.831565,2025-09-14 21:54:39.274660,0 days 00:32:33.443095,32,0.00316,8,22,COMPLETE
16,0.29324520913043345,2025-09-14 21:54:39.279701,2025-09-15 11:28:55.335059,0 days 13:34:16.055358,47,0.1,16,13,COMPLETE
17,0.6368936852862601,2025-09-15 11:28:55.373010,2025-09-15 11:59:56.558338,0 days 00:31:01.185328,15,0.001,4,27,COMPLETE
18,0.38606700212966805,2025-09-15 11:59:56.565750,2025-09-15 12:23:56.545828,0 days 00:23:59.980078,4,0.0001,19,21,COMPLETE
19,0.4010266993273073,2025-09-15 12:23:56.551333,2025-09-15 12:55:38.325101,0 days 00:31:41.773768,27,0.0316,14,16,COMPLETE
20,0.3692856302266466,2025-09-15 12:55:38.330437,2025-09-15 13:32:00.385272,0 days 00:36:22.054835,41,0.01,22,8,COMPLETE
21,0.0,2025-09-15 13:32:00.391094,2025-09-15 14:05:24.337453,0 days 00:33:23.946359,32,0.000316,32,24,COMPLETE
22,0.3811452644624505,2025-09-15 14:05:24.343815,2025-09-15 14:38:39.158834,0 days 00:33:14.815019,31,0.1,9,22,COMPLETE
23,0.685399385759553,2025-09-15 14:38:39.164992,2025-09-15 15:16:38.166906,0 days 00:37:59.001914,38,0.00316,27,28,COMPLETE
24,0.6823006898038622,2025-09-15 15:16:38.173126,2025-09-15 15:46:45.384608,0 days 00:30:07.211482,22,0.000316,13,26,COMPLETE
25,0.5237802160635024,2025-09-15 15:46:45.390926,2025-09-15 16:27:34.055061,0 days 00:40:48.664135,52,0.001,17,29,COMPLETE
26,0.5023387334425393,2025-09-15 16:27:34.060726,2025-09-15 17:00:34.630798,0 days 00:33:00.570072,29,0.0001,6,21,COMPLETE
27,0.7596023680090873,2025-09-15 17:00:34.637124,2025-09-15 17:35:26.624108,0 days 00:34:51.986984,36,0.000316,24,24,COMPLETE
28,0.4671704900872576,2025-09-15 17:35:26.631450,2025-09-15 18:12:04.693306,0 days 00:36:38.061856,41,0.0001,29,17,COMPLETE
29,0.17671360599410948,2025-09-15 18:12:04.700061,2025-09-15 18:39:58.321682,0 days 00:27:53.621621,15,1.0,30,10,COMPLETE
30,0.6115096139468663,2025-09-15 18:39:58.328697,2025-09-15 19:10:42.308761,0 days 00:30:43.980064,23,0.001,15,31,COMPLETE
31,0.697312354889965,2025-09-15 19:10:42.315622,2025-09-15 19:44:24.283527,0 days 00:33:41.967905,29,0.001,12,29,COMPLETE
32,0.6639342221640465,2025-09-15 19:44:24.290436,2025-09-15 20:15:23.797877,0 days 00:30:59.507441,24,0.001,10,26,COMPLETE
33,0.7974899989099891,2025-09-15 20:15:23.805256,2025-09-15 20:49:36.904776,0 days 00:34:13.099520,34,1.0,12,19,COMPLETE
34,0.6548273669470398,2025-09-15 20:49:36.911224,2025-09-15 21:24:20.809643,0 days 00:34:43.898419,33,1.0,11,19,COMPLETE
35,0.8688649112697717,2025-09-15 21:24:20.816683,2025-09-15 22:07:41.476868,0 days 00:43:20.660185,63,1.0,8,15,COMPLETE
36,0.29290964728203445,2025-09-15 22:07:41.484077,2025-09-15 22:51:03.085893,0 days 00:43:21.601816,64,1.0,8,15,COMPLETE
37,0.21061952414224575,2025-09-15 22:51:03.093080,2025-09-15 23:29:57.619399,0 days 00:38:54.526319,53,1.0,8,11,COMPLETE
38,0.7239136575938587,2025-09-15 23:29:57.627265,2025-09-16 10:43:23.388321,0 days 11:13:25.761056,36,1.0,6,19,COMPLETE
39,0.7983912979551773,2025-09-16 10:43:23.409289,2025-09-16 11:26:51.827823,0 days 00:43:28.418534,59,0.316,10,17,COMPLETE
40,0.32901227461776633,2025-09-16 11:26:51.839484,2025-09-16 12:10:17.075145,0 days 00:43:25.235661,58,0.316,10,17,COMPLETE
41,0.3224556618201234,2025-09-16 12:10:17.083520,2025-09-16 12:53:33.350981,0 days 00:43:16.267461,64,0.316,12,14,COMPLETE
42,0.3274626706345433,2025-09-16 12:53:34.394756,2025-09-16 13:33:01.907515,0 days 00:39:27.512759,49,0.316,7,18,COMPLETE
43,0.37019588757691757,2025-09-16 13:33:01.916448,2025-09-16 14:09:29.027292,0 days 00:36:27.110844,41,1.0,13,20,COMPLETE
44,0.308331006941602,2025-09-16 14:09:29.035608,2025-09-16 14:55:22.564643,0 days 00:45:53.529035,59,0.316,11,32,COMPLETE
45,0.4204335510184633,2025-09-16 14:55:22.573991,2025-09-16 15:39:06.442086,0 days 00:43:43.868095,57,0.0316,9,16,COMPLETE
46,0.2433344278717207,2025-09-16 15:39:06.450693,2025-09-16 16:08:26.864511,0 days 00:29:20.413818,19,0.01,4,12,COMPLETE
47,0.6648017157460836,2025-09-16 16:08:27.365596,2025-09-16 16:48:52.831832,0 days 00:40:25.466236,56,0.0001,6,23,COMPLETE
48,0.047303856403457877,2025-09-16 16:48:52.841234,2025-09-16 17:31:22.619684,0 days 00:42:29.778450,62,1.0,14,7,COMPLETE
49,0.18404058100047488,2025-09-16 17:31:22.635316,2025-09-16 18:10:34.015520,0 days 00:39:11.380204,45,0.00316,18,18,COMPLETE
50,0.11167182871876218,2025-09-16 18:10:34.024334,2025-09-16 18:54:41.357183,0 days 00:44:07.332849,61,0.1,9,14,COMPLETE
51,0.40975332488235383,2025-09-16 18:54:41.366615,2025-09-16 19:29:12.051498,0 days 00:34:30.684883,35,0.000316,24,20,COMPLETE
52,0.36315796541523254,2025-09-16 19:29:12.060444,2025-09-16 20:01:56.836853,0 days 00:32:44.776409,29,0.0001,21,22,COMPLETE
53,0.1642677554053651,2025-09-16 20:01:56.846221,2025-09-16 20:38:08.926379,0 days 00:36:12.080158,39,0.316,11,16,COMPLETE
54,0.7489901078049335,2025-09-16 20:38:08.935206,2025-09-16 21:14:58.178666,0 days 00:36:49.243460,34,0.000316,15,25,COMPLETE
55,0.590306533227574,2025-09-16 21:14:58.193694,2025-09-17 10:30:47.914034,0 days 13:15:49.720340,26,1.0,13,23,COMPLETE
