inf train,inf test,disentanglment,completenes,Learning rate,Batch size,Latent size,Other,Max steps,Run description
1.0,1.0,0.7888811175520614,0.43019937823693544,0.0001,4,6, ,57600,"xy single square, orig sampler, orig data, beta=0.01"
1.0,1.0,0.7060858389515314,0.34567177595239906,0.0001,4,6, ,57600,"xy single square, orig sampler, beta=0.01"
1.0,1.0,0.5516845889018793,0.27864483775323495,0.0001,4,6, ,57600,"xy single square, orig sampler, beta=0.01"
1.0,1.0,0.6853306407148018,0.28869311280561993,0.0001,4,6, ,57600,"xy single square, orig sampler, beta=0.01"
1.0,1.0,0.8028328227377193,0.3602445743595897,0.0001,4,6, ,57600,"xy single square, orig sampler, orig data, beta=0.01"
1.0,0.999,0.4616962483904655,0.20264841796533895,0.0001,4,6, ,57600,"xy single square, orig sampler, mimic orig data beta=0.01"
1.0,0.995,0.7759989618734102,0.42760252800268495,0.0001,4,6, ,57600,"xy single square, orig sampler, mimic orig data beta=0.01"
1.0,0.995,0.6402151363178925,0.3198834940873201,0.0001,4,6, ,57600,"xy single square, orig sampler, mimic orig data beta=0.01"
1.0,0.999,0.2367234521826,0.09535533736194392,0.0001,4,6, ,57600,"xy single square, orig sampler, mimic orig data beta=0.01"
1.0,1.0,0.5564146327074326,0.2770618557001163,0.0001,4,6, ,57600,"xy single square, orig sampler, orig data beta=0.01"
1.0,0.996,0.6490154394317511,0.35706500405961805,0.0001,4,6, ,57600,"xy single square, orig sampler, orig data beta=0.01"
1.0,0.992,0.04014159535142392,0.018827115103773162,0.0001,4,6, ,57600,"xy single square, rl sampler, steps=0, beta=0.01"
1.0,0.991,0.054420599594565494,0.02282601664232009,0.0001,4,6, ,57600,"xy single square, rl sampler, steps=0, beta=0.01"
1.0,0.998,0.04504983402998325,0.019982600498054337,0.0001,4,6, ,57600,"xy single square, rl sampler, steps=1, beta=0.01"
1.0,1.0,0.6290461990211389,0.3341818365867708,0.0001,4,6, ,57600,"xy single square, rl sampler, steps=20, beta=0.01"
1.0,1.0,0.4026936553342471,0.16844351649268907,0.0001,4,6, ,57600,"xy single square, rl sampler, steps=40, beta=0.01"
1.0,1.0,0.62552227185075,0.3676502425643464,0.0001,4,6, ,57600,"xy single square, rl sampler, steps=60, beta=0.01"
1.0,0.995,0.6870643386898052,0.37297815904112636,0.0001,4,6, ,57600,"xy single square, rl sampler, steps=80, beta=0.01"
1.0,0.986,0.293041285914937,0.12171492741904166,0.0001,4,6, ,57600,"xy single square, rl sampler, steps=100, beta=0.01"
1.0,0.996,0.3124373760240949,0.12580816785011112,0.0001,4,6, ,57600,"xy single square, rl sampler, steps=110, beta=0.01"
1.0,1.0,0.559732953723568,0.25839456161210317,0.0001,4,6, ,57600,"xy single square, orig sampler, orig data beta=0.01"
1.0,1.0,0.6747393685430262,0.31291268057703403,0.0001,4,6, ,57600,"xy single square, orig sampler, orig data beta=0.01"
